ResponseId,I16,I16-Timing_First Click,I16-Timing_Last Click,I16-Timing_Page Submit,I16-Timing_Click Count,I8,I8-Timing_First Click,I8-Timing_Last Click,I8-Timing_Page Submit,I8-Timing_Click Count,I24,I24-Timing_First Click,I24-Timing_Last Click,I24-Timing_Page Submit,I24-Timing_Click Count,I4,I4-Timing_First Click,I4-Timing_Last Click,I4-Timing_Page Submit,I4-Timing_Click Count,I20,I20-Timing_First Click,I20-Timing_Last Click,I20-Timing_Page Submit,I20-Timing_Click Count,I28,I28-Timing_First Click,I28-Timing_Last Click,I28-Timing_Page Submit,I28-Timing_Click Count,I12,I12-Timing_First Click,I12-Timing_Last Click,I12-Timing_Page Submit,I12-Timing_Click Count,I2,I2-Timing_First Click,I2-Timing_Last Click,I2-Timing_Page Submit,I2-Timing_Click Count,I10,I10-Timing_First Click,I10-Timing_Last Click,I10-Timing_Page Submit,I10-Timing_Click Count,I22,I22-Timing_First Click,I22-Timing_Last Click,I22-Timing_Page Submit,I22-Timing_Click Count,I18,I18-Timing_First Click,I18-Timing_Last Click,I18-Timing_Page Submit,I18-Timing_Click Count,I26,I26-Timing_First Click,I26-Timing_Last Click,I26-Timing_Page Submit,I26-Timing_Click Count,I30,I30-Timing_First Click,I30-Timing_Last Click,I30-Timing_Page Submit,I30-Timing_Click Count,I14,I14-Timing_First Click,I14-Timing_Last Click,I14-Timing_Page Submit,I14-Timing_Click Count,I6,I6-Timing_First Click,I6-Timing_Last Click,I6-Timing_Page Submit,I6-Timing_Click Count,I1,I1-Timing_First Click,I1-Timing_Last Click,I1-Timing_Page Submit,I1-Timing_Click Count,I5,I5-Timing_First Click,I5-Timing_Last Click,I5-Timing_Page Submit,I5-Timing_Click Count,I9,I9-Timing_First Click,I9-Timing_Last Click,I9-Timing_Page Submit,I9-Timing_Click Count,I13,I13-Timing_First Click,I13-Timing_Last Click,I13-Timing_Page Submit,I13-Timing_Click Count,I17,I17-Timing_First Click,I17-Timing_Last Click,I17-Timing_Page Submit,I17-Timing_Click Count,I19,I19-Timing_First Click,I19-Timing_Last Click,I19-Timing_Page Submit,I19-Timing_Click Count,I21,I21-Timing_First Click,I21-Timing_Last Click,I21-Timing_Page Submit,I21-Timing_Click Count,I23,I23-Timing_First Click,I23-Timing_Last Click,I23-Timing_Page Submit,I23-Timing_Click Count,I25,I25-Timing_First Click,I25-Timing_Last Click,I25-Timing_Page Submit,I25-Timing_Click Count,I29,I29-Timing_First Click,I29-Timing_Last Click,I29-Timing_Page Submit,I29-Timing_Click Count,I31,I31-Timing_First Click,I31-Timing_Last Click,I31-Timing_Page Submit,I31-Timing_Click Count,I27,I27-Timing_First Click,I27-Timing_Last Click,I27-Timing_Page Submit,I27-Timing_Click Count,I15,I15-Timing_First Click,I15-Timing_Last Click,I15-Timing_Page Submit,I15-Timing_Click Count,I11,I11-Timing_First Click,I11-Timing_Last Click,I11-Timing_Page Submit,I11-Timing_Click Count,I7,I7-Timing_First Click,I7-Timing_Last Click,I7-Timing_Page Submit,I7-Timing_Click Count,I3,I3-Timing_First Click,I3-Timing_Last Click,I3-Timing_Page Submit,I3-Timing_Click Count,Attend-SS,Attend-SS-Timing_First Click,Attend-SS-Timing_Last Click,Attend-SS-Timing_Page Submit,Attend-SS-Timing_Click Count,Attend-LL,Attend-LL-Timing_First Click,Attend-LL-Timing_Last Click,Attend-LL-Timing_Page Submit,Attend-LL-Timing_Click Count
R_1di77o084k9mYvU,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,4.37,11.629,16.194,2,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,4.007,4.007,4.883,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,0.878,0.878,3.001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 65% chance,28.052,28.052,28.946,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 58% chance,2.322,2.322,3.18,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_2ttzavjRjINsojw,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,0.839,4.777,7.377,2,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.133,1.133,4.185,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 97.5% chance,0.595,0.595,2.707,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,0.598,1.558,3.045,2,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 97% chance,0.696,0.696,3.134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_29mLKb5IDOOJzKG,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,4.162,4.162,4.85,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,17.107,17.107,18.213,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.002,2.002,2.925,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.934,1.934,2.873,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 90% chance,1.818,1.818,2.874,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2TpWaz6YSzWG7EV,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 50% chance,6.164,6.164,7.665,1,,,,,,"${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity}
for sure",3.605,3.605,5.572,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,3.132,3.132,4.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.357,2.357,3.795,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.215,1.215,3.603,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3RwFCi5sL6MyPh7,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,7.625,7.625,8.4,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,1.548,1.548,3.057,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,0.981,0.981,3.022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 65% chance,8.205,8.205,9.322,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.613,1.613,2.828,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_9WW3OIK1iBgg7mN,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,5.441,5.441,6.191,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,1.879,1.879,2.705,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,1.187,1.187,2.906,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,0.944,1.632,2.807,2,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 72% chance,0.956,0.956,2.706,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1f2bCvkJf1eNn2J,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,4.499,4.499,5.353,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,3.109,3.109,4.849,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,1.006,1.006,3.007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 65% chance,0.506,0.506,2.905,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,3.286,3.286,4.055,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_8zU6lFeExwvVEPv,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,3.474,3.474,4.196,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,2.697,2.697,3.335,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,1.836,1.836,3.106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.453,1.453,3.135,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 72% chance,27.231,28.699,29.471,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Jh0VCeLUFpuo30,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,14.959,14.959,15.894,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,9.301,9.301,10.272,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 77% chance,9.989,9.989,10.922,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,2.06,2.06,3.285,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 72% chance,3.05,3.05,4.325,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_29cfe3C31ozaZ8H,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,5.056,5.056,5.701,1,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with an 92% chance,3.12,4.795,5.827,2,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,1.642,1.642,2.879,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} with a 86% chance,2.243,2.243,2.862,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} for sure,3.446,3.446,4.201,1,,,,,,,,,,,,,,,,,,,,
